artists,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,key,mode,genres
Spooks,0.0312,0.886,0.427,0.00099,0.0906,-10.028,0.145,108.034,0.23,77,6,1,[]
Spoon,0.180172143,0.758857143,0.649428571,0.012690554,0.197378571,-6.703928571,0.035971429,119.5072857,0.777642857,46.85714286,9,1,"['alternative dance', 'alternative rock', 'austindie', 'dance-punk', 'indie pop', 'indie rock', 'modern alternative rock', 'modern rock', 'rock']"
Sports,0.229,0.6375,0.6575,0.6535,0.4215,-8.54,0.0283,98.881,0.649,58,5,1,"['indie garage rock', 'neo-psychedelic', 'tulsa indie', 'vapor soul']"
Spose,0.145,0.636,0.774,0,0.633,-5.474,0.344,92.429,0.774,47,0,1,"['comic', 'indie pop rap', 'pop rap']"
Spragga Benz,0.00452,0.618,0.691,3.17E-06,0.0614,-7.041,0.308,170.446,0.762,48,10,0,"['dancehall', 'lovers rock', 'old school dancehall', 'riddim']"
Springtoifel,0.106143,0.2815,0.788,0.37001245,0.39,-8.5365,0.08865,172.404,0.338,0,11,1,"['german oi', 'german punk', 'german rock']"
Spur Of The Moment,0.0987,0.527,0.605,0.903,0.0837,-6.117,0.0397,176.116,0.601,48,0,0,"['deep smooth jazz', 'smooth jazz']"
Spyro Gyra,0.349609091,0.603090909,0.654181818,0.567136364,0.123127273,-10.39309091,0.046663636,109.7644545,0.693454545,27.18181818,9,1,"['jazz funk', 'jazz fusion', 'progressive jazz fusion', 'smooth jazz']"
Squarepusher,0.5123,0.423,0.4815,0.895,0.08945,-12.592,0.04385,125.77,0.3188,44,1,1,"['abstract', 'bass music', 'drill and bass', 'electro', 'electronica', 'intelligent dance music', 'microhouse', 'ninja', 'trip hop']"
Squeak Ru,0.0222,0.848,0.822,0,0.642,-2.998,0.322,94.841,0.755,42,8,1,[]
Squeeze,0.140374815,0.614296296,0.652296296,0.014756186,0.154337037,-11.45307407,0.044296296,131.3714444,0.78462963,36.96296296,9,1,"['art rock', 'beatlesque', 'dance rock', 'new romantic', 'new wave', 'new wave pop', 'power pop', 'pub rock', 'rock']"
Squirrel Nut Zippers,0.371933333,0.478,0.711666667,0.036855,0.317666667,-6.774666667,0.0608,109.4423333,0.542,38.66666667,3,1,['swing']
Sreenanda Mukherjee,0.716,0.464,0.45,0,0.143,-10.164,0.0335,90.514,0.477,0,9,1,[]
Sreeradha Banerjee,0.861333333,0.483333333,0.412666667,4.24E-05,0.301333333,-8.423333333,0.036666667,134.5423333,0.318333333,0,5,0,[]
Sridhar Parsekar,0.8892,0.5906,0.3738,0.4486,0.1692,-13.661,0.2768,107.5132,0.7714,0,5,0,[]
Sriharsha,0.9615,0.433,0.549,0.0394,0.324,-8.656,0.1167,125.7835,0.5785,0,7,1,[]
Sriharshia,0.988,0.478,0.488,0.718,0.347,-11.978,0.567,83.788,0.517,0,7,1,[]
Srikrishna,0.929,0.631,0.168,4.52E-06,0.12,-13.792,0.0378,102.016,0.513,0,4,1,[]
Srinivas,0.6995,0.6765,0.3715,0.000124,0.18715,-12.2615,0.2569,83.8585,0.507,11,5,1,"['deep indian pop', 'desi hip hop', 'filmi', 'tamil pop']"
St Francis Hotel,0.415,0.27,0.366,0.227,0.12,-12.526,0.0381,123.216,0.0752,35,5,1,[]
St Germain,0.234966667,0.729666667,0.652166667,0.4398,0.144883333,-10.121,0.051283333,115.4665,0.523766667,52.33333333,10,0,"['downtempo', 'electronica', 'jazztronica', 'nu jazz']"
St. Cecilia Orchestra,0.9674,0.4266,0.1006,0.1046,0.1802,-20.4864,0.14002,104.872,0.35,0,7,1,[]
St. Elmo's Fire,0.462,0.569,0.392,0.793,0.11,-14.258,0.0347,125.213,0.299,37,8,1,[]
St. Keromítis,0.996,0.719,0.246,0.705,0.128,-12.053,0.097,113.534,0.882,0,0,1,['rebetiko']
St. Louis Jesuits,0.766,0.3685,0.229166667,2.95E-05,0.1625,-15.4225,0.02905,113.3986667,0.603166667,27.66666667,10,1,"['classic praise', 'rosary']"
St. Louis Symphony,0.9182,0.18738,0.12488,0.9254,0.19436,-19.9982,0.04182,132.1626,0.07074,0,4,1,['orchestra']
St. Lucia,0.05481,0.562,0.9485,0.00042475,0.2985,-5.3425,0.074925,103.268,0.54,52.5,2,1,"['alternative dance', 'electropop', 'indie pop', 'indie poptimism', 'indietronica', 'metropopolis', 'modern alternative rock', 'modern rock', 'neo-synthpop', 'nyc pop', 'shimmer pop', 'vapor soul']"
St. Luke's Chamber Ensemble,0.858,0.292,0.456,0.938,0.172,-14.098,0.0378,149.393,0.511,49,7,0,['chamber ensemble']
St. Lunatics,0.02331,0.715333333,0.581333333,1.56E-05,0.510666667,-6.169333333,0.173066667,122.0303333,0.429,41.66666667,10,1,"['dirty south rap', 'pop rap', 'southern hip hop']"
St. Lundi,0.306,0.535,0.431,0,0.101,-8.071,0.0374,129.797,0.0954,70,0,1,[]
St. Pagioumtzis,0.995,0.543,0.564,0.835,0.182,-9.329,0.0309,102.787,0.718,0,1,1,"['entehno', 'laiko', 'rebetiko']"
St. Paul & The Broken Bones,0.2603,0.5028,0.6548,0.12564,0.196,-5.9514,0.03778,117.351,0.5422,55,7,1,"['funk', 'indie folk', 'retro soul', 'soul']"
St. Petersburg Philharmonic Orchestra,0.8725,0.11315,0.0389,0.901,0.09245,-27.393,0.0435,80.509,0.0354,0.5,6,1,[]
St. Petersburg State Symphony Orchestra,0.979,0.1,0.0656,0.788,0.124,-23.678,0.0508,73.959,0.037,37,5,0,['orchestra']
St. South,0.767,0.737,0.528,4.92E-06,0.0782,-9.583,0.0981,126.006,0.332,54,3,0,[]
St. Vincent,0.353166667,0.473666667,0.547,0.182833333,0.2862,-10.55266667,0.0562,141.5733333,0.328333333,57.33333333,5,0,"['art pop', 'electropop', 'etherpop', 'indie pop', 'indie rock', 'indietronica', 'metropopolis']"
St.Tsitsis & St. Stathis,0.965,0.304,0.337,0.718,0.118,-10.446,0.0302,64.638,0.741,0,6,1,[]
Staatskapelle Berlin,0.976860465,0.324825581,0.207815116,0.444777831,0.257744186,-15.6992907,0.098298837,91.60867442,0.221584884,1.511627907,7,1,"['classical performance', 'orchestra']"
Staatskapelle Dresden,0.910026217,0.2741397,0.217915356,0.580433557,0.236013483,-15.94065169,0.042303745,98.1810412,0.251951685,0.509363296,2,1,"['classical', 'classical performance', 'orchestra']"
Staatsopernchor Dresden,0.936,0.22,0.237,0.38,0.0956,-14.488,0.0492,61.738,0.11,0,2,1,[]
Stabbing Westward,0.000448443,0.461285714,0.769,0.077038571,0.247571429,-7.777571429,0.041028571,118.685,0.204085714,41.14285714,1,1,"['alternative metal', 'industrial metal', 'industrial rock', 'nu metal', 'post-grunge']"
Stacey Kent,0.8635,0.6035,0.2846,0.00585691,0.112466667,-14.322,0.040933333,140.8645,0.482166667,55.66666667,10,1,"['adult standards', 'contemporary vocal jazz', 'lounge', 'vocal jazz']"
Stacey Logan,0.733,0.473,0.338,0,0.175,-15.343,0.116,146.16,0.498,35,7,1,[]
Stacey Q,0.0695,0.808,0.4895,0.000294,0.07685,-11.0235,0.03255,131.842,0.7885,43,5,0,"['freestyle', 'hi-nrg']"
Stacie Orrico,0.0832,0.4785,0.913,0,0.2615,-3.7095,0.20135,145.2035,0.622,54.5,1,1,"['candy pop', 'dance pop', 'europop']"
Stacy Barthe,0.0423,0.597,0.755,0,0.582,-2.209,0.052,89.146,0.0467,64,4,0,[]
Stacy Epps,0.091,0.508,0.529,0.0236,0.231,-9.503,0.387,93.471,0.59,46,10,0,[]
Stacy Lattisaw,0.241666667,0.616555556,0.556,0.003732,0.147933333,-11.10288889,0.042211111,132.1883333,0.582888889,40.33333333,5,1,"['disco', 'funk', 'new jack swing', 'post-disco', 'quiet storm', 'urban contemporary']"
Staffolani,0.951,0.59,0.412,0.854,0.0977,-9.505,0.0326,125.134,0.746,0,0,1,[]
Stagedive Live,0.052,0.527,0.701,0.0486,0.11,-8.254,0.04,174.055,0.346,12,2,1,['norsk lovsang']
Staind,0.078031546,0.45872973,0.717964865,0.075408049,0.174613514,-5.286540541,0.062318919,122.9121622,0.277089189,45.13513514,6,1,"['alternative metal', 'nu metal', 'post-grunge', 'rap rock', 'rock']"
Stalking Gia,0.0232,0.802,0.495,0,0.0933,-6.154,0.188,114.991,0.47,63,2,0,[]
Stamoulis,0.993,0.481,0.53,0.514,0.237,-12.413,0.0529,76.973,0.614,0,10,1,[]
Stampeders,0.12835,0.532,0.6385,0,0.267,-10.0945,0.0491,91.135,0.7055,37,11,1,['classic canadian rock']
Stamponi,0.989,0.408,0.302,0.789,0.459,-15.384,0.0495,122.839,0.474,0,9,1,[]
Stan Bush,0.0231475,0.55375,0.9185,1.21E-05,0.2015,-7.31025,0.057175,136.41725,0.56825,38,7,1,['melodic hard rock']
Stan Francis,0.754,0.591,0.49,0,0.386,-13.387,0.0424,96.976,0.965,22,5,0,[]
Stan Freeman,0.988,0.47,0.2925,0.916,0.136,-14.035,0.0328,114.55,0.2335,0,11,1,[]
Stan Getz,0.87787108,0.50130662,0.237281533,0.313541324,0.163593031,-16.69555401,0.047589547,113.3128502,0.523630314,21.55749129,5,1,"['adult standards', 'bebop', 'bossa nova', 'cool jazz', 'jazz', 'jazz saxophone', 'latin jazz', 'vocal jazz']"
Stan Getz & Bob Brookmeyer,0.634,0.479,0.404,0.000392,0.109,-16.113,0.0361,106.9,0.641,1,7,1,[]
Stan Getz Quartet,0.866833333,0.514666667,0.227933333,0.010472742,0.148,-14.52266667,0.038166667,121.5623333,0.461833333,14.83333333,8,1,['jazz quartet']
Stan Jones,0.802,0.487,0.326,0.00041,0.296,-10.656,0.0342,133.028,0.39,10,4,0,[]
Stan Katayama,0.09355,0.494,0.5715,0.00011415,0.0581,-13.7545,0.0364,128.374,0.585,40.5,9,1,[]
Stan Kenton,0.791934132,0.401862275,0.347137126,0.422613995,0.145252695,-11.59935329,0.050288024,108.9679222,0.363217964,5.401197605,8,1,"['big band', 'cool jazz', 'swing']"
Stan Kenton & His Orchestra,0.684514286,0.496314286,0.501171429,0.460336,0.203611429,-9.166057143,0.061871429,115.1530571,0.524657143,5.457142857,8,1,['big band']
Stan Laurel,0.913857143,0.447857143,0.724,0.645857143,0.670142857,-9.640714286,0.271342857,102.503,0.552571429,0,0,1,[]
Stan Levey,0.7165,0.443333333,0.429233333,0.135635683,0.159316667,-12.52583333,0.040116667,130.2855,0.483833333,1.5,5,1,['jazz drums']
Stan Richardson,0.995,0.0911,0.0157,0.78,0.322,-24.144,0.043,69.394,0.0676,41,7,1,"['japanese traditional', 'meditation', 'shakuhachi']"
Stan Rogers,0.684272727,0.597636364,0.492363636,0.000437313,0.353754545,-9.347272727,0.197945455,118.5301818,0.713545455,32.45454545,7,1,"['canadian celtic', 'canadian singer-songwriter', 'celtic', 'folk', 'nl folk', 'traditional folk']"
Stan Whitmire,0.982222222,0.392888889,0.149633333,0.881777778,0.129533333,-18.74344444,0.044,102.3966667,0.1803,45.11111111,10,1,"['calming instrumental', 'christian relaxative', 'classify']"
Stanislas Gastaldon,0.98,0.293,0.38,6.56E-06,0.604,-8.967,0.034,137.734,0.323,1,2,1,[]
Stanislav Bunin,0.99,0.237,0.0142,0.839,0.0869,-32.516,0.0432,68.087,0.0543,41,6,1,['classical piano']
Stanislav Muž,0.978714286,0.324428571,0.341142857,0.056536414,0.468571429,-16.00957143,0.184571429,105.3304286,0.225085714,0,7,1,[]
Stanisław Skrowaczewski,0.983,0.315,0.0983,0.911,0.0888,-23.9015,0.0351,100.5585,0.12335,2.5,4,1,[]
Stanley Black,0.777222222,0.383888889,0.406555556,0.582871111,0.116766667,-12.59511111,0.0528,126.3081111,0.426933333,23,0,1,"['ballroom', 'easy listening', 'exotica', 'light music', 'lounge']"
Stanley Chaloupka,0.772,0.2005,0.2295,0.4075,0.1226,-18.995,0.0416,96.07,0.1225,0.5,3,1,[]
Stanley Clarke,0.124203158,0.612105263,0.612,0.550472842,0.116684211,-12.00157895,0.056989474,121.3994211,0.731052632,32.52631579,2,1,"['electric bass', 'jazz funk', 'jazz fusion']"
Stanley Cowell Trio,0.453,0.653,0.364,0.57,0.1,-15.896,0.0824,75.234,0.686,37,7,1,['jazz trio']
Stanley Donen,0.989333333,0.631333333,0.066866667,3.24E-05,0.142,-17.791,0.074266667,115.6103333,0.585666667,6,5,1,[]
